code,libelle,age_apparition,cim,GARD,MedDRA,MeSH,OMIM,prevalence,synonymes,UMLS
5,Déficit en 3-hydroxyacyl-CoA déshydrogénase des acides gras à chaîne longue,"Petite enfance, Néonatal",E71.3,6867,-,-,609016,1-9 / 100 000,Déficit en 3-hydroxyacyl-coenzyme A déshydrogénase des acides gras à chaîne longue ; Déficit en LCHAD ; LCHADD,C0342786  C1969443
6,Déficit en 3-méthylcrotonyl-CoA carboxylase,Tout âge,E71.1,10954,-,C535308,210200  210210,1-9 / 100 000,3-méthylcrotonyl glycinurie ; Déficit en MCC ; MCCD,C0268600
7,Syndrome 3C,"Néonatal, Prénatal, Petite enfance",Q87.8,5666,-,C535313,220210  300963,<1 / 1 000 000,Dysplasie cranio-cérébello-cardiaque ; Syndrome de Ritscher-Schinzel,C0796137
8,"Syndrome 47,XYY",Tout âge,Q98.5,5674,10056894,C535317  D014997,-,1-5 / 10 000,Disomie Y ; Double Y,C0043379  C3266843
9,Tétrasomie X,"Petite enfance, Néonatal",Q97.1,7754,-,C536502,-,<1 / 1 000 000,"Quadruple X ; Syndrome 48,XXXX ; Tétra X",C0265496
10,"Syndrome 48,XXYY","Petite enfance, Néonatal, Enfance, Adolescence",Q98.8,5677,10048230,D007713,-,Inconnu,-,C2936741
11,Pentasomie X,Néonatal,Q97.1,5678,-,C535319,-,Inconnu,"Penta-X ; Poly-X ; Syndrome 49,XXXXX",C0265497  C2937419
13,Déficit en 6-pyruvoyl-tétrahydroptérine synthase,"Petite enfance, Néonatal",E70.1,5682,-,C535325,261640,Inconnu,Hyperphénylalaninémie par déficit en 6-pyruvoyl-tétrahydroptérine synthase,C0878676
14,Abêtalipoprotéinémie,"Petite enfance, Néonatal",E78.6,5,-,D000012,200100,<1 / 1 000 000,Hypobêtalipoprotéinémie sévère précoce ; Maladie de Bassen-Kornzweig,C0000744
15,Achondroplasie,Néonatal,Q77.4,8173,10000452,D000130,100800,1-9 / 100 000,-,C0001080
16,Monochromatisme à cônes bleus,Petite enfance,H53.5,917,-,C536238  C538165,303700,1-9 / 100 000,Achromatopsie atypique liée à l'X ; Achromatopsie incomplète liée à l'X ; Monochromatie à cônes S ; Monochromatie à cônes bleus ; Monochromatisme à cônes S,C0339537  C2931753
17,Acidose lactique infantile fatale avec acidurie méthylmalonique,"Petite enfance, Néonatal",E71.1,-,-,-,245400,Inconnu,-,-
18,Acidose tubulaire rénale distale,Tout âge,N25.8,4667,10045224,-,179800  267300  602722  611590,Inconnu,ATR classique ; ATRd ; Acidose distale primitive familiale ; Acidose tubulaire rénale type 1 ; dRTA,C0259810  C1704380
19,Acidurie 2-hydroxyglutarique,Enfance,E72.8,10761,-,-,-,Inconnu,Acidémie 2-hydroxyglutarique,C2746066
20,Acidurie 3-hydroxy-3-méthylglutarique,"Petite enfance, Néonatal",E71.1,8387,-,-,246450,Inconnu,Acidurie hydroxyméthylglutarique ; Déficit en 3-hydroxy-3-méthylglutaryl-CoA lyase ; Déficit en HMG-CoA-lyase,C0268601  C1533587
22,Déficit en succinate-semi-aldéhyde déshydrogénase,"Enfance, Petite enfance, Néonatal",E72.8,7695,-,-,271980,Inconnu,Acidurie 4-hydroxybutyrique ; Acidurie gamma-hydroxybutyrique ; Déficit en SSADH,C0268631
23,Acidurie argininosuccinique,"Néonatal, Tout âge",E72.2,5843,10058299,D056807,207900,1-9 / 100 000,ASA ; Déficit en ASL ; Déficit en acide arginosuccinique synthétase ; Déficit en argininosuccinase ; Déficit en argino-succinate lyase,C0268547
24,Acidurie fumarique,"Petite enfance, Néonatal",E88.8,6476,-,C538191,606812,<1 / 1 000 000,Déficit en fumarase,C0342770  C2936826
25,Déficit en glutaryl-CoA déshydrogénase,"Petite enfance, Néonatal",E72.3,6522,-,C536833,231670,Inconnu,Acidurie glutarique type 1 ; Acidémie glutarique type 1 ; Déficit en glutaryl-coenzyme A déshydrogénase ; GA1 ; GCDHD,C0268595
26,Acidémie méthylmalonique avec homocystinurie,Tout âge,E71.1,3579,-,C537359,277380  277400  277410  614857,Inconnu,Acidurie méthylmalonique avec homocystinurie ; Déficit combiné de synthèse de l'adénosylcobalamine et de la méthylcobalamine,C1848561
27,Acidémie méthylmalonique résistante à la vitamine B12,"Néonatal, Petite enfance, Enfance",E71.1,3586,-,-,251000,Inconnu,Acidurie méthylmalonique résistante à la vitamine B12 ; Déficit en méthylmalonyl-CoA mutase ; Déficit en méthylmalonyl-Coenzyme A mutase,C1855114
28,Acidémie méthylmalonique sensible à la vitamine B12,Enfance,E71.1,12623,-,-,251100  251110  277410,Inconnu,Acidurie méthylmalonique sensible à la vitamine B12 ; Déficit en adénosylcobalamine,-
