id	OrphaNumber	ExpertLink	Name	Type	statut	Synonymes	nsyn	ICD-10	MedDRA	MeSH	OMIM	UMLS
3555	5	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=5	Déficit en 3-hydroxyacyl-CoA déshydrogénase des acides gras à chaîne longue	Maladie	on-line	Déficit en 3-hydroxyacyl-coenzyme A déshydrogénase des acides gras à chaîne longue ; Déficit en LCHAD ; LCHADD	3	E71.3	""	""	609016	C0342786 ; C1969443
3297	6	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=6	Déficit en 3-méthylcrotonyl-CoA carboxylase	Maladie	on-line	3-méthylcrotonyl glycinurie ; Déficit en MCC ; MCCD	3	E71.1	""	C535308	210200 ; 210210	C0268600
1242	7	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=7	Syndrome 3C	Syndrome  malformatif	on-line	Dysplasie cranio-cérébello-cardiaque ; Syndrome de Ritscher-Schinzel	2	Q87.8	""	C535313	220210 ; 300963	C0796137
335	8	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=8	Syndrome 47,XYY	Syndrome  malformatif	on-line	Disomie Y ; Double Y	2	Q98.5	10056894	C535317 ; D014997	""	C3266843 ; C0043379
390	9	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=9	Tétrasomie X	Syndrome  malformatif	on-line	Quadruple X ; Syndrome 48,XXXX ; Tétra X	3	Q97.1	""	C536502	""	C0265496
1056	10	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=10	Syndrome 48,XXYY	Syndrome  malformatif	on-line			Q98.8	10048230	D007713	""	C2936741
378	11	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=11	Pentasomie X	Syndrome  malformatif	on-line	Penta-X ; Poly-X ; Syndrome 49,XXXXX	3	Q97.1	""	C535319	""	C2937419 ; C0265497
771	13	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=13	Déficit en 6-pyruvoyl-tétrahydroptérine synthase	Sous-type clinique	on-line	Hyperphénylalaninémie par déficit en 6-pyruvoyl-tétrahydroptérine synthase	1	E70.1	""	C535325	261640	C0878676
252	14	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=14	Abêtalipoprotéinémie	Maladie	on-line	Hypobêtalipoprotéinémie sévère précoce ; Maladie de Bassen-Kornzweig	2	E78.6	""	D000012	200100	C0000744
148	15	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=15	Achondroplasie	Maladie	on-line			Q77.4	10000452	D000130	100800	C0001080
177	16	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=16	Monochromatisme à cônes bleus	Maladie	on-line	Achromatopsie atypique liée à l'X ; Achromatopsie incomplète liée à l'X ; Monochromatie à cônes S ; Monochromatie à cônes bleus ; Monochromatisme à cônes S	5	H53.5	""	C536238 ; C538165	303700	C0339537 ; C2931753
776	17	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=17	Acidose lactique infantile fatale avec acidurie méthylmalonique	Maladie	on-line			E71.1	""	""	245400	""
3621	18	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=fr&Expert=18	Acidose tubulaire rénale distale	Maladie	on-line	ATR classique ; ATRd ; Acidose distale primitive familiale ; Acidose tubulaire rénale type 1 ; dRTA	5	N25.8	10045224	""	179800 ; 267300 ; 602722 ; 611590	C1704380 ; C0259810
