id;OrphaNumber;ExpertLink;Name;Type;statut;Synonymes;nsyn;ICD-10;MedDRA;MeSH;OMIM;UMLS
3555;5;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=5;Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency;Disease;on-line;"LCHAD deficiency ; LCHADD ; Long-chain 3-hydroxyacyl-coenzyme A dehydrogenase deficiency";3;E71.3;"";"";609016;"C0342786 ; C1969443"
3297;6;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=6;3-methylcrotonyl-CoA carboxylase deficiency;Disease;on-line;"3-methylcrotonylglycinuria ; MCC deficiency ; MCCD";3;E71.1;"";C535308;"210200 ; 210210";C0268600
1242;7;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=7;3C syndrome;Malformation syndrome;on-line;"Craniocerebellocardiac dysplasia ; Ritscher-Schinzel syndrome";2;Q87.8;"";C535313;"220210 ; 300963";C0796137
335;8;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=8;47,XYY syndrome;Malformation syndrome;on-line;"Double Y syndrome ; XYY syndrome ; Y disomy";3;Q98.5;10056894;"C535317 ; D014997";"";"C3266843 ; C0043379"
390;9;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=9;Tetrasomy X;Malformation syndrome;on-line;"48,XXXX syndrome ; Quadruple X ; Tetra X";3;Q97.1;"";C536502;"";C0265496
1056;10;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=10;48,XXYY syndrome;Malformation syndrome;on-line;;;Q98.8;10048230;D007713;"";C2936741
378;11;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=11;Pentasomy X;Malformation syndrome;on-line;"49,XXXXX syndrome ; Penta-X ; Poly-X";3;Q97.1;"";C535319;"";"C2937419 ; C0265497"
771;13;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=13;6-pyruvoyl-tetrahydropterin synthase deficiency;Clinical subtype;on-line;Hyperphenylalaninemia due to 6-pyruvoyltetrahydropterin synthase deficiency;1;E70.1;"";C535325;261640;C0878676
252;14;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=14;Abetalipoproteinemia;Disease;on-line;"Bassen-Kornzweig disease ; Homozygous familial hypobetalipoproteinemia";2;E78.6;"";D000012;200100;C0000744
148;15;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=15;Achondroplasia;Disease;on-line;;;Q77.4;10000452;D000130;100800;C0001080
